x,subfamilies,pollen load
Ambulyx ochracea,Smerinthinae,2
Ambulyx Sp. 1,Smerinthinae,3
Ambulyux Sp. 2,Smerinthinae,150
Ambulyx Sp. 2,Smerinthinae,10
Ambulyx Sp. 1,Smerinthinae,1
Ambulyx Sp. 1,Smerinthinae,5
Ambulyx Sp. 1,Smerinthinae,4
Clanis deucalion,Smerinthinae,34
Ambulyx  moorei,Smerinthinae,4
Marumba sp. 1,Smerinthinae,10
Ambulyx sp. 1,Smerinthinae,56
Marumba dyras,Smerinthinae,2
Ambulyx ochracea,Smerinthinae,10
Pergesa acteus,Sphinginae,8
Psilogramma sp. 2,Sphinginae,9
Psilogramma sp. 2,Sphinginae,162
Psilogramma menephrons,Sphinginae,4
Psilogramma menephrons,Sphinginae,4
Psilogramma sp. 2,Sphinginae,21
Dolbina sp. 1,Sphinginae,4
Acherontia sp. 1,Sphinginae,15
Cechetra lineosa,Macroglossinae,8
Theretra sp.,Macroglossinae,2
Ambulyx ochraceae,Macroglossinae,6
Rhagastis castor,Macroglossinae,2
Theretra oldenlandiae,Macroglossinae,5
Acosmeryx Naga,Macroglossinae,5
Ambulyx ochraceae,Macroglossinae,13
Acosmeryx naga,Macroglossinae,150
Acosmeryx naga,Macroglossinae,5
Cechetra bryki,Macroglossinae,1
Cechetra bryki,Macroglossinae,67
Theretra suffusa,Macroglossinae,17
Acosmeryx naga,Macroglossinae,15
Acosmeryx naga,Macroglossinae,150
Acosmeryx naga,Macroglossinae,200
Acosmeryx naga,Macroglossinae,200
Rhagastis albomarginata,Macroglossinae,4
Theretra nessus,Macroglossinae,2
Rhagastis castor,Macroglossinae,1
Theretra nessus,Macroglossinae,4
Rhagastis lunata,Macroglossinae,22
Rhagastis olivaceae,Macroglossinae,4
Theretra clotho,Macroglossinae,2
Daphnis sp. 1,Macroglossinae,1
Acosmeryx naga,Macroglossinae,4
Eupanacra metalica,Macroglossinae,3
Cechetra Minor,Macroglossinae,246
Rhagastis olivaceae,Macroglossinae,2
Ampelophaga khasiana,Macroglossinae,5
Acosmeryx naga,Macroglossinae,6
Cechetra minor,Macroglossinae,3
Theretra nessus,Macroglossinae,4
Daphnis sp. 1,Macroglossinae,27
Cechetra minor,Macroglossinae,50
Cechetra minor,Macroglossinae,15
Macroglossum sp.,Macroglossinae,2
Theretra clotho,Macroglossinae,43
Cechetra minor,Macroglossinae,3
Rhagastis lunata,Macroglossinae,2
Daphnis sp. 1,Macroglossinae,12
Daphnis sp. 1,Macroglossinae,4
Theretra nessus,Macroglossinae,1
Theretra nessus,Macroglossinae,5
Cechetra minor,Macroglossinae,2
