Moth family,Betulaceae,Fabaceae,Balsaminaceae,Oleaceae,Salicaceae,Poaceae,Elaeocarpaceae,Ericaceae,Araceae,Rosaceae,Brassicaceae,Euphorbiaceae,Malvaceae,Acanthaceae
Ambulyx ochraceae 1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyux Sp. 2a1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyx Sp. 1a1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyx Sp. 2a2,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Ambulyx Sp. 1a2,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Ambulyx sp. 1a4,0,41.07,0,0,0,0,0,0,0,0,0,100,0,0
Ambulyx Sp. 1a3,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyx  moorei,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Ambulyx ochraceae 3,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyx ochraceae 4,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ambulyx ochraceae 2,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra minor 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra minor 2,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra minor 3,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra minor 4,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra minor 5,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Cechetra Minor 6,100,100,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra bryki 1,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Cechetra lineosa,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Cechetra bryki 2,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Theretra clotho 1,41.86,58.14,0,0,0,0,0,0,0,0,0,0,0,0
Theretra nessus 1,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Theretra nessus 2,0,0,40,0,60,0,0,0,0,0,0,0,0,0
Theretra nessus 3,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Theretra nessus 4,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Theretra clotho 2,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Theretra nessus 5,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Theretra suffusa,0,50,0,0,0,0,50,0,0,0,0,0,0,0
Theretra oldenlandiae,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Theretra sp. 6,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Rhagastis lunata 1,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Rhagastis olivaceae 1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Rhagastis olivaceae 2,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhagastis lunata 2,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Rhagastis albomarginata,0,0,75,0,0,0,0,0,25,0,0,0,0,0
Rhagastis castor 1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Rhagastis castor 2,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Daphnis sp. 1a1,25,0,0,33.33,0,0,0,0,0,0,0,0,0,0
Daphnis sp. 1a2,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphnis sp. 1a3,25.93,74.07,0,0,0,0,0,0,0,0,0,0,0,0
Daphnis sp. 1a4,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Psilogramma sp. 2a1,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Psilogramma menephrons 1,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Psilogramma menephrons 2,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Psilogramma sp. 2a2,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Psilogramma sp. 2a3,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Acosmeryx naga  1,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Acosmeryx naga 2,0,66.66,0,0,0,0,0,0,0,33.33,0,0,0,0
Acosmeryx naga 3,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Acosmeryx naga 4,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Acosmeryx Naga 5,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Acosmeryx naga 6,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Acosmeryx naga 7,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Acosmeryx naga 9,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Acosmeryx naga 8,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Marumba sp. 1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Marumba dyras,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Pergesa acteus,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Eupanacra metalica,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Clanis deucalion,88.24,0,0,0,0,0,0,11.76,0,0,0,0,0,0
Ampelophaga khasiana,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Dolbina sp. 1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Acherontia sp. 1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Macroglossum sp.,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Clanis deucalion,88.24,0,0,0,0,0,0,11.76,0,0,0,0,0,0
